STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation value,SOURCE,Source
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM007,Kampot,TONES,Tones,A,Annual,2014,,252924,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM007,Kampot,TONES,Tones,A,Annual,2015,,243156,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM007,Kampot,TONES,Tones,A,Annual,2016,,261704,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM007,Kampot,TONES,Tones,A,Annual,2017,,264860,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM025,Tboung Khmum,TONES,Tones,A,Annual,2015,,171176,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM025,Tboung Khmum,TONES,Tones,A,Annual,2016,,161661,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM025,Tboung Khmum,TONES,Tones,A,Annual,2017,,165280,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM023,Kep,TONES,Tones,A,Annual,2014,,6355,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM023,Kep,TONES,Tones,A,Annual,2015,,6358,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM023,Kep,TONES,Tones,A,Annual,2016,,6514,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM023,Kep,TONES,Tones,A,Annual,2017,,6576,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM001,Banteay Meanchey,TONES,Tones,A,Annual,2014,,350154,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM001,Banteay Meanchey,TONES,Tones,A,Annual,2015,,389385,,MAFF_Agricultural Statistics_2015,
