DATAFLOW,MEASURE,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
PT:RT(1.0.0),M4,20,10,4,Q,2010-Q1,-13.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2010-Q2,1.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2010-Q3,0,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2010-Q4,14.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2011-Q1,-14.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2011-Q2,-1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2011-Q3,1.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2011-Q4,16.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2012-Q1,-12.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2012-Q2,-0.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2012-Q3,0.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2012-Q4,12.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2013-Q1,-13.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2013-Q2,0.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2013-Q3,3.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2013-Q4,13.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2014-Q1,-13.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2014-Q2,0.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2014-Q3,3.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2014-Q4,16.4,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2015-Q1,-12.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2015-Q2,0.6,PCT,0,,
